,rp,logrp,obs,Y_f,Y_cf
1949,1.97368,0.6798998204743159,31.87316131591797,33.7028,31.5493
1950,3.40909,1.2264453935112922,32.45558166503906,34.3043,32.1507
1951,1.05634,0.05481010315991953,30.369686126708984,32.166,30.0125
1952,3.75,1.3217558399823195,32.60688018798828,34.3187,32.1652
1953,1.07143,0.068994204819396,30.48001289367676,32.1735,30.02
1954,15.0,2.70805020110221,33.84610748291016,35.5722,33.4186
1955,1.74419,0.5562902645068457,31.68452453613281,33.5011,31.3475
1956,75.0001,4.317489446868755,34.99981689453125,36.8306,34.677
1957,2.58621,0.9501934835491164,32.46854782104492,34.2129,32.0594
1958,1.20968,0.19035586182227673,31.17438697814941,32.8417,30.6882
1959,5.76923,1.7525386227414315,33.11174774169922,34.7051,32.5516
1960,3.57143,1.2729660758128074,32.72303771972656,34.3123,32.1587
1961,1.44231,0.3662459949536031,31.54747772216797,33.1502,30.9966
1962,5.0,1.6094379124341003,32.98875427246094,34.5806,32.4271
1963,3.94737,1.37304953436979,32.655181884765625,34.3252,32.1716
1964,1.47059,0.38566368081126473,31.46978187561035,33.2134,31.0599
1965,1.5625,0.4462871026284195,31.50399398803711,33.2873,31.1337
1966,1.33929,0.2921396227960413,31.25792121887207,33.0763,30.9228
1967,9.375,2.2380465718564744,33.70429992675781,35.4707,33.3172
1968,7.5,2.0149030205422647,33.48493194580078,35.1803,33.0268
1969,2.41935,0.8834989090491642,32.43075180053711,34.0888,31.9352
1970,2.14286,0.7621413853793413,32.20654296875,33.8911,31.7376
1971,37.5,3.624340932976365,35.03776550292969,36.6812,34.5277
1972,2.08333,0.7339675750789205,32.26313400268555,33.8572,31.7037
1973,1.38889,0.328504866971716,31.486892700195312,33.124,30.9704
1974,1.82927,0.6039169801649004,31.98409652709961,33.5898,31.4362
1975,2.5,0.916290731874155,32.481658935546875,34.1352,31.9817
1976,1.5,0.4054651081081644,31.571102142333984,33.2175,31.064
1977,1.875,0.6286086594223741,32.094482421875,33.6788,31.5253
1978,1.66667,0.5108276237639907,31.859811782836918,33.3645,31.211
1979,3.0,1.0986122886681096,32.9096794128418,34.2555,32.102
1980,1.08696,0.083384808933931,30.911439895629883,32.1926,30.0391
1981,2.27273,0.8209817520691103,32.743186950683594,33.9933,31.8398
1982,2.77778,1.0216520475316613,33.051239013671875,34.2352,32.0817
1983,3.26087,1.1819940309404853,33.046173095703125,34.2746,32.1211
1984,1.0274,0.027031339051030515,30.821468353271484,32.1419,29.9883
1985,4.6875,1.5448993912965292,33.24796676635742,34.5493,32.3958
1986,1.27119,0.23995346962667102,31.76004981994629,33.058,30.9045
1987,1.17188,0.15860929683420308,31.36382293701172,32.5586,30.4051
1988,4.16667,1.4271171556398257,33.23630905151367,34.3612,32.2077
1989,4.41176,1.4842737028128588,33.37684631347656,34.3821,32.2286
1990,1.10294,0.09797934169296822,31.288728713989254,32.2566,30.103
1991,1.13636,0.12783017150476492,31.495424270629883,32.5377,30.3841
1992,1.01351,0.01341955365946503,30.83395004272461,31.8949,29.7414
1993,1.53061,0.4256663487579416,32.10124206542969,33.2216,31.0681
1994,6.25,1.83258146374831,33.85169982910156,34.9526,32.7991
1995,12.5,2.525728644308255,34.50752258300781,35.5617,33.4082
1996,1.1194,0.1127928274751221,31.462177276611328,32.4124,30.2589
1997,1.04167,0.04082519451513523,31.331039428710938,32.1501,29.9966
1998,1.59574,0.46733757848861623,32.45268249511719,33.3013,31.1477
1999,1.22951,0.20661571602859038,32.03976058959961,32.8573,30.7038
2000,3.125,1.1394342831883648,33.4871711730957,34.2718,32.1183
2001,1.19048,0.17435658713965774,31.846912384033203,32.6226,30.4691
2002,6.81818,1.9195925740712376,34.30624008178711,34.9761,32.8226
2003,2.02703,0.706571667557677,33.246456146240234,33.8546,31.7011
2004,1.63043,0.48884378370957987,32.80593490600586,33.3517,31.1981
2005,2.34375,0.8517522107365838,33.519649505615234,34.0609,31.9074
2006,1.15385,0.14310417696845115,32.02001190185547,32.5407,30.3872
2007,1.41509,0.34719313331281965,32.6145133972168,33.1307,30.9772
2008,2.20588,0.7911265222529135,33.40153884887695,33.9275,31.7739
2009,2.88462,1.0593931755135484,33.74981689453125,34.238,32.0845
2010,1.2931,0.2570424363196688,32.55558776855469,33.0684,30.9149
2011,8.33333,2.120263136200011,34.909278869628906,35.3758,33.2222
2012,2.67857,0.9852830700276309,33.77088165283203,34.228,32.0745
2013,10.7143,2.3715792978134416,35.08183670043945,35.5289,33.3753
2014,1.25,0.22314355131420974,32.695220947265625,33.0133,30.8597
2015,5.35714,1.6784302505875761,34.4566535949707,34.6098,32.4563
2016,1.78571,0.5798160952500621,33.53180694580078,33.5754,31.4219
2017,1.70455,0.5333011462811603,33.41241455078125,33.4104,31.2569
2018,1.92308,0.6539280674053839,33.73777770996094,33.6991,31.5456
2019,1.36364,0.31015759496695056,33.12425994873047,33.0834,30.9299
2020,1.31579,0.27443724570168027,33.081138610839844,33.0735,30.92
2021,25.0,3.2188758248682006,36.6284294128418,36.5999,34.4464
2022,18.75,2.9311937524164198,35.977108001708984,35.9771,33.8236
