"","disp_est","disp_lower","disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_DI_est","attr_DI_lower","attr_DI_upper"
"CMCC-CM2-HR4",0.0311193163618507,0.0202268293987139,0.0398552341420331,241.664295772544,0.395961134279171,0.107421273656172,1.06771888730473,16.3556327366632,-1.12028441921356,34.8667287416041
"CMCC-CM2-VHR4",0.036798387803378,0.0270596911094565,0.0451686645403222,290.577123222699,0.538623450167851,0.182019048435959,1.48796986577697,11.6448627758401,-6.44534717100278,30.3273564423674
"CNRM-CM6-1-HR",0.0400544531707756,0.0305277649425413,0.0464941511882928,196.780740013516,0.761802461116613,0.199356614694688,2.71897027687084,5.12222799432536,-15.1984278056763,32.917943138527
"CNRM-CM6-1",0.0687030548147567,0.0526637861173523,0.0795144818832483,134.310599586168,0.744284769872819,0.256737942507776,2.24692373323463,8.54172362635909,-19.6102368245766,43.593668556832
"EC-Earth3P-HR",0.0641551116259843,0.0472009773852873,0.075021115430662,113.039341732504,0.52879588815024,0.201334262258492,1.49336295684396,17.973273183009,-8.78373923686377,48.6498490554431
"EC-Earth3P",0.0581241308063114,0.0454204980048779,0.0647496227736368,138.727831186066,0.992236878063786,0.245239902590282,4.71842058571284,0.158309125343139,-23.5433567619455,29.2913564370392
"HadGEM3-GC31-HM",0.038259946632886,0.0277534993331077,0.0456982931615904,182.322593347885,0.601253716845988,0.236475651101802,1.53683151335133,9.82668068720536,-7.0756896461146,27.8483339037931
"HadGEM3-GC31-LM",0.0511667545499359,0.0376391427592732,0.0602417242950536,145.185770608376,0.776748112191521,0.236686421073635,2.42573328033811,5.76395443326948,-16.4017960263621,34.2852114771552
"HadGEM3-GC31-MM",0.049453142766131,0.0402494490405152,0.0554169593336532,191.404404961863,0.761755172937995,0.24788671003994,2.57201587825718,5.3585726750155,-16.1958799209462,26.8986297494097
"MPI-ESM1-2-HR",0.0784632682752646,0.0559277152964901,0.0950041687741062,86.0908245480408,0.341363241415353,0.115061930247364,0.783630239104788,46.6608297657688,8.55218978440683,96.5973012150053
"MPI-ESM1-2-XR",0.0963382304999095,0.0671942319020788,0.121211982605535,65.0806498352967,0.49544605574925,0.142454943030333,1.4096561061241,27.4092302029939,-9.78635814272113,74.3247005299746
